Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,AA-2014-100000,01/01/2014,01/06/2014,Second Class,CS-10613,Charles Scott,Consumer,United States,Austin,Texas,29560,Central,OFF-AR-10002833,Office Supplies,Art,Newell 322,86.88,1,0.1,26.0199
2,AA-2014-100000,01/01/2014,01/07/2014,Standard Class,SD-10236,Stephanie Davis,Consumer,United States,Pittsburgh,Pennsylvania,32280,East,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement HEPA Filter,103.76,1,0.15,11.4917
3,AA-2014-100000,01/01/2014,01/06/2014,Standard Class,RW-10179,Richard Williams,Home Office,United States,Mount Pleasant,South Carolina,71178,South,FUR-CH-10001313,Furniture,Chairs,SAFCO PVC Mobile Pedestal Chair,1121.77,1,0.0,133.9458
4,AA-2014-100001,01/01/2014,01/07/2014,Standard Class,KC-10713,Kathleen Carter,Corporate,United States,Miami,Florida,79524,South,OFF-ST-10001806,Office Supplies,Storage,Advantus Super Stacker Divided Storage Box,676.02,4,0.0,172.7633
5,AA-2014-100001,01/02/2014,01/06/2014,Second Class,RW-10612,Ronald Wilson,Consumer,United States,Memphis,Tennessee,51978,South,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,206.74,4,0.0,58.5677
6,AA-2014-100001,01/03/2014,01/10/2014,Standard Class,RM-10628,Richard Martin,Corporate,United States,Newark,Delaware,70044,East,OFF-AP-10001028,Office Supplies,Appliances,Cuisinart Classic 12-Cup Coffeemaker,158.64,1,0.45,0.2315
7,US-2014-100002,01/03/2014,01/10/2014,Standard Class,ST-10409,Sharon Turner,Corporate,United States,Hot Springs,Arkansas,27207,South,OFF-FA-10003283,Office Supplies,Fasteners,Acco Suede Finish Lanyard with Split Ring,67.42,3,0.0,20.3598
8,US-2014-100002,01/03/2014,01/08/2014,Second Class,JR-10708,James Roberts,Home Office,United States,Saginaw,Michigan,10043,Central,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,6156.88,9,0.0,79.6012
9,US-2014-100002,01/04/2014,01/09/2014,Standard Class,BR-10364,Brenda Reed,Consumer,United States,Dallas,Texas,39836,Central,OFF-ST-10002927,Office Supplies,Storage,Akro-Mils 09516 Super-Size AkroBins,114.47,1,0.0,24.6487
10,CA-2014-100003,01/04/2014,01/09/2014,Standard Class,DM-10239,David Morris,Consumer,United States,Wilmington,Delaware,77743,East,OFF-FA-10003283,Office Supplies,Fasteners,Acco Suede Finish Lanyard with Split Ring,129.41,5,0.0,45.8351
11,CA-2014-100003,01/04/2014,01/11/2014,Standard Class,SH-10743,Susan Hall,Consumer,United States,Akron,Ohio,10188,East,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement HEPA Filter,343.19,1,0.2,29.069
12,CA-2014-100003,01/05/2014,01/08/2014,Second Class,DG-10701,David Green,Consumer,United States,Bangor,Maine,21447,East,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,389.88,3,0.0,39.3078
13,CA-2014-100004,01/05/2014,01/11/2014,Standard Class,ME-10758,Melissa Evans,Consumer,United States,Taylor,Michigan,89086,Central,OFF-AR-10003056,Office Supplies,Art,Newell 341,306.24,6,0.0,114.4999
14,CA-2014-100004,01/06/2014,01/07/2014,Same Day,JK-10054,James King,Consumer,United States,Orland Park,Illinois,46836,Central,OFF-AP-10000304,Office Supplies,Appliances,Hoover WindTunnel 3 High Performance Pet,802.42,4,0.0,154.165
15,CA-2014-100004,01/06/2014,01/08/2014,First Class,EW-10679,Elizabeth Walker,Home Office,United States,Oakland,California,37569,West,FUR-CH-10001313,Furniture,Chairs,SAFCO PVC Mobile Pedestal Chair,3148.71,3,0.0,585.4073
16,AA-2014-100005,01/06/2014,01/12/2014,Standard Class,WR-10263,William Reed,Consumer,United States,Westland,Michigan,70411,Central,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,73.17,3,0.0,17.7828
17,AA-2014-100005,01/07/2014,01/11/2014,Second Class,GH-10771,Gary Harris,Corporate,United States,Cincinnati,Ohio,52232,East,FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase,420.74,1,0.0,58.5269
18,AA-2014-100005,01/08/2014,01/15/2014,Standard Class,GS-10709,George Scott,Home Office,United States,Henderson,Kentucky,69967,South,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" Premium Diagonal Seam Envelopes",47.93,8,0.0,16.8769
19,CA-2014-100006,01/08/2014,01/12/2014,Second Class,JB-10449,Joseph Brown,Corporate,United States,Naperville,Illinois,40478,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" Premium Diagonal Seam Envelopes",54.57,2,0.0,18.8426
20,CA-2014-100006,01/09/2014,01/16/2014,Standard Class,JT-10601,Jeffrey Turner,Home Office,United States,Detroit,Michigan,34330,Central,TEC-CO-10004182,Technology,Copiers,Okidata MC860 MFP Laser Printer,1694.3,3,0.0,430.7814
21,CA-2014-100006,01/09/2014,01/12/2014,First Class,PR-10740,Paul Reed,Consumer,United States,Durham,North Carolina,81860,South,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement HEPA Filter,428.73,2,0.0,108.7947
22,US-2014-100007,01/09/2014,01/16/2014,Standard Class,SH-10121,Sandra Hall,Consumer,United States,Omaha,Nebraska,25771,Central,OFF-AR-10000397,Office Supplies,Art,"BIC Brite Liner Highlighters, Assorted Colors",218.24,3,0.1,77.9835
23,US-2014-100007,01/09/2014,01/15/2014,Standard Class,ME-10100,Mark Evans,Corporate,United States,Minneapolis,Minnesota,68323,Central,OFF-AR-10001986,Office Supplies,Art,Sanford 52602 Liquid Accent Tank-Style Highlighters,365.84,8,0.0,116.2055
24,US-2014-100007,01/10/2014,01/13/2014,First Class,GR-10083,George Rivera,Consumer,United States,Wilmington,North Carolina,98589,South,OFF-PA-10003695,Office Supplies,Paper,Avery Shipping Labels with TrueBlock Technology,54.03,3,0.2,10.1469
25,US-2014-100008,01/10/2014,01/17/2014,Standard Class,AP-10131,Andrew Phillips,Consumer,United States,Austin,Texas,82250,Central,OFF-SU-10004590,Office Supplies,Supplies,Acco Pressboard Data Binder with Storage Hooks,10.51,1,0.0,2.3259
26,US-2014-100008,01/11/2014,01/16/2014,Standard Class,MT-10071,Melissa Torres,Consumer,United States,Woonsocket,Rhode Island,53179,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings,1324.73,9,0.2,190.6669
27,US-2014-100008,01/11/2014,01/16/2014,Standard Class,DC-10698,Daniel Collins,Home Office,United States,Bristol,Tennessee,77342,South,OFF-SU-10004590,Office Supplies,Supplies,Acco Pressboard Data Binder with Storage Hooks,291.23,6,0.0,58.0803
28,CA-2014-100009,01/11/2014,01/18/2014,Standard Class,CJ-10132,Claire Jones,Corporate,United States,Milwaukee,Wisconsin,61932,Central,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,51.39,2,0.1,8.6175
29,CA-2014-100009,01/13/2014,01/19/2014,Standard Class,EP-10357,Eric Parker,Consumer,United States,Cheyenne,Wyoming,75768,West,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,266.3,4,0.0,41.1271
30,CA-2014-100009,01/14/2014,01/14/2014,Same Day,PA-10615,Paul Anderson,Corporate,United States,Tacoma,Washington,86705,West,FUR-BO-10003396,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional Cherry",600.6,2,0.0,74.2519
31,CA-2014-100010,01/15/2014,01/19/2014,Second Class,BH-10149,Brian Hall,Consumer,United States,Miami,Florida,13917,South,FUR-CH-10001313,Furniture,Chairs,SAFCO PVC Mobile Pedestal Chair,316.12,1,0.1,21.5452
32,CA-2014-100010,01/15/2014,01/17/2014,First Class,MJ-10763,Melissa Johnson,Corporate,United States,Minneapolis,Minnesota,67985,Central,OFF-AR-10000397,Office Supplies,Art,"BIC Brite Liner Highlighters, Assorted Colors",115.02,4,0.0,37.6907
33,CA-2014-100010,01/15/2014,01/19/2014,Second Class,RH-10408,Robert Hall,Home Office,United States,Warner Robins,Georgia,99329,South,OFF-FA-10003283,Office Supplies,Fasteners,Acco Suede Finish Lanyard with Split Ring,40.78,2,0.1,13.5124
34,AA-2014-100011,01/16/2014,01/23/2014,Standard Class,AM-10790,Andrew Morris,Consumer,United States,Troy,New York,68514,East,TEC-CO-10003723,Technology,Copiers,Sharp AL-1530CS Digital Copier,8883.45,3,0.1,1709.6836
35,AA-2014-100011,01/16/2014,01/21/2014,Standard Class,KA-10281,Kevin Adams,Corporate,United States,Philadelphia,Pennsylvania,90383,East,OFF-FA-10003283,Office Supplies,Fasteners,Acco Suede Finish Lanyard with Split Ring,38.41,2,0.2,9.262
36,AA-2014-100011,01/17/2014,01/22/2014,Standard Class,JM-10381,Joseph Murphy,Corporate,United States,Columbus,Ohio,54874,East,OFF-AP-10000304,Office Supplies,Appliances,Hoover WindTunnel 3 High Performance Pet,965.02,5,0.0,199.0112
